tokenID,name,description,file_name,external_url,attributes[Type],attributes[Gender],attributes[Age],attributes[HairStyle],attributes[FacialFeature],attributes[Eyes],attributes[Expression],attributes[Accessory],attributes[Rarity]
1,Loxley #1,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,1.png,,human phantom,masculine,adult,pigtails,stubble,eyepatch,smirking,small horns,Common
2,Loxley #2,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,2.png,,portrait cat,feminine,elder,mohawk,cybernetic jaw,glowing eyes,calm,flower behind ear,Rare
3,Loxley #3,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,3.png,,human hacker,masculine,young,curly hair,mustache,normal eyes,scowling,neck chain,Common
4,Loxley #4,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,4.png,,human oracle,feminine,young,bowl cut,dimples,eyepatch,serious,headband,Common
5,Loxley #5,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,5.png,,secret agent,masculine,elder,slicked-back hair,full beard,wide eyes,neutral,high collar,Rare
6,Loxley #6,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,6.png,,human rogue,masculine,young,cornrows,clean-shaven,normal eyes,grinning,earring,Common
7,Loxley #7,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,7.png,,alien,feminine,adult,pigtails,war paint,sunglasses,frowning,cigarette,Rare
8,Loxley #8,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,8.png,,human hacker,feminine,young,bangs,goatee,cyber visor,neutral,nothing on head,Common
9,Loxley #9,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,9.png,,portrait dog,masculine,adult,hooded head,cheek markings,normal eyes,serious,hood up,Rare
10,Loxley #10,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,10.png,,alien,androgynous,adult,spiky hair,face tattoo,monocle,frowning,flower behind ear,Rare
11,Loxley #11,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,11.png,,portrait cat,feminine,elder,man-bun,chin strap beard,eyepatch,smiling,helmet,Rare
12,Loxley #12,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,12.png,,portrait cat,masculine,elder,spiky hair,cybernetic jaw,cyber visor,grinning,cigarette,Rare
13,Loxley #13,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,13.png,,human scout,feminine,adult,ponytail,freckles,big round eyes,smirking,small horns,Common
14,Loxley #14,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,14.png,,human scout,feminine,elder,shaved sides,soul patch,sunglasses,grinning,nothing on head,Common
15,Loxley #15,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,15.png,,human rogue,androgynous,young,messy hair,clean-shaven,narrow eyes,surprised,scarf,Common
16,Loxley #16,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,16.png,,human scout,androgynous,elder,shaved sides,chin strap beard,sharp piercing eyes,calm,laurel wreath,Common
17,Loxley #17,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,17.png,,human phantom,androgynous,adult,mohawk,cybernetic jaw,sunglasses,neutral,glowing halo,Common
18,Loxley #18,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,18.png,,portrait cat,androgynous,elder,mohawk,beauty mark,heterochromia,surprised,nothing on head,Rare
19,Loxley #19,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,19.png,,human rogue,feminine,adult,messy hair,stubble,big round eyes,serious,flower behind ear,Common
20,Loxley #20,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,20.png,,human ranger,feminine,adult,afro hair,cheek markings,sunglasses,surprised,hood up,Common
21,Loxley #21,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,21.png,,alien,feminine,elder,short hair,war paint,monocle,frowning,glowing halo,Rare
22,Loxley #22,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,22.png,,human rogue,feminine,elder,undercut,face tattoo,sharp piercing eyes,smiling,high collar,Common
23,Loxley #23,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,23.png,,human oracle,masculine,elder,shaved sides,chin strap beard,closed eyes,neutral,flower behind ear,Common
24,Loxley #24,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,24.png,,human rogue,androgynous,young,dreadlocks,freckles,glowing eyes,calm,beanie,Common
25,Loxley #25,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,25.png,,human oracle,masculine,elder,short hair,freckles,big round eyes,smiling,antenna,Common
26,Loxley #26,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,26.png,,alien,androgynous,young,messy hair,face tattoo,normal eyes,neutral,small horns,Rare
27,Loxley #27,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,27.png,,human rogue,masculine,young,hooded head,war paint,winking,scowling,neck chain,Common
28,Loxley #28,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,28.png,,human oracle,androgynous,elder,dreadlocks,soul patch,wide eyes,frowning,neck chain,Common
29,Loxley #29,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,29.png,,human hacker,androgynous,elder,shaved sides,wrinkles,cyber visor,calm,neck chain,Common
30,Loxley #30,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,30.png,,human ranger,feminine,young,man-bun,eye scar,glowing cyber eye,scowling,bandana,Common
31,Loxley #31,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,31.png,,secret agent,androgynous,adult,messy hair,nose ring,sharp piercing eyes,calm,beanie,Rare
32,Loxley #32,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,32.png,,human hacker,masculine,adult,man-bun,chin strap beard,sharp piercing eyes,scowling,bandana,Common
33,Loxley #33,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,33.png,,human ranger,feminine,adult,wavy hair,eye scar,round glasses,smirking,cap,Common
34,Loxley #34,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,34.png,,human oracle,feminine,elder,bowl cut,mustache,heterochromia,smiling,flower behind ear,Common
35,Loxley #35,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,35.png,,human ranger,androgynous,elder,bangs,cybernetic jaw,glowing cyber eye,neutral,beanie,Common
36,Loxley #36,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,36.png,,human ranger,androgynous,young,shaved sides,wrinkles,cyber visor,frowning,earring,Common
37,Loxley #37,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,37.png,,human rogue,feminine,elder,top-knot,soul patch,wide eyes,scowling,face mask,Common
38,Loxley #38,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,38.png,,alien,feminine,elder,mohawk,nose ring,tired eyes,smiling,bandana,Rare
39,Loxley #39,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,39.png,,human phantom,masculine,elder,top-knot,freckles,tired eyes,frowning,high collar,Common
40,Loxley #40,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,40.png,,alien,masculine,adult,short hair,cybernetic jaw,big round eyes,serious,flower behind ear,Rare
41,Loxley #41,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,41.png,,human rogue,feminine,young,receding hairline,stubble,tired eyes,neutral,high collar,Common
42,Loxley #42,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,42.png,,human phantom,feminine,young,dreadlocks,cheek markings,tired eyes,scowling,face mask,Common
43,Loxley #43,An owner-controlled on-chain pixel agent with an immutable Public identity and one optional Outlaw transformation.,43.png,,human oracle,androgynous,elder,buzzcut,mustache,round glasses,serious,scarf,Common
